Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.340057637,0.01659751,-0.18443804,0.402489627,-2.040345821,-0.605809129
2.340057637,-0.008298755,-0.265129683,0.477178423,-1.982708934,-0.742738589
2.374639769,-0.107883817,-1.821325648,0.950207469,-1.971181556,-0.780082988
2.455331412,-0.145228216,-1.706051873,0.863070539,-1.878962536,-0.87966805
2.524495677,-0.145228216,-1.625360231,0.838174274,-1.809798271,-1.004149378
2.55907781,-0.12033195,-1.429394813,0.77593361,-1.798270893,-1.053941909
2.443804035,-0.082987552,-1.314121037,0.751037344,-1.740634006,-1.128630705
2.409221902,-0.082987552,-1.268011527,0.751037344,-1.694524496,-1.153526971
2.409221902,-0.045643154,-1.152737752,0.825726141,-1.682997118,-1.153526971
2.501440922,-0.008298755,-0.956772334,0.875518672,-1.57925072,-1.302904564
2.55907781,0.041493776,-0.853025937,1.037344398,-1.4870317,-1.427385892
2.65129683,0.116182573,-0.795389049,1.099585062,-1.406340058,-1.477178423
2.720461095,0.141078838,-0.726224784,1.211618257,-1.337175793,-1.489626556
2.812680115,0.153526971,-0.760806916,1.323651452,-1.221902017,-1.626556017
2.893371758,0.153526971,-0.853025937,1.22406639,-1.152737752,-1.601659751
2.858789625,0.066390041,-0.933717579,1.087136929,-0.968299712,-1.564315353
2.812680115,0.066390041,-0.991354467,0.987551867,-0.864553314,-1.576763485
2.720461095,-0.008298755,-1.11815562,1.037344398,-0.760806916,-1.55186722
2.720461095,-0.008298755,-1.025936599,1.149377593,-0.726224784,-1.502074689
2.78962536,0.004149378,-0.933717579,1.211618257,-0.726224784,-1.390041494
2.83573487,0.029045643,-0.887608069,1.286307054,-0.726224784,-1.340248963
2.83573487,0.116182573,-0.887608069,1.360995851,-0.737752161,-1.265560166
2.662824207,0.153526971,-0.956772334,1.336099585,-0.818443804,-1.141078838
2.616714697,0.128630705,-1.037463977,1.286307054,-0.841498559,-1.078838174
2.55907781,0.078838174,-1.141210375,1.161825726,-0.841498559,-1.029045643
2.536023055,0.041493776,-1.198847262,1.136929461,-0.968299712,-0.917012448
2.501440922,-0.058091286,-1.175792507,1.31120332,-1.07204611,-0.842323651
2.524495677,-0.095435685,-1.129682997,1.273858921,-1.16426513,-0.755186722
2.582132565,-0.12033195,-1.106628242,1.336099585,-1.198847262,-0.717842324
2.616714697,-0.107883817,-1.152737752,1.410788382,-1.25648415,-0.680497925
2.582132565,-0.033195021,-1.187319885,1.485477178,-1.30259366,-0.630705394
2.570605187,-0.008298755,-1.244956772,1.609958506,-1.371757925,-0.593360996
2.65129683,0.041493776,-1.314121037,1.634854772,-1.406340058,-0.556016598
2.685878963,0.004149378,-1.567723343,1.647302905,-1.429394813,-0.506224066
2.69740634,-0.095435685,-1.682997118,1.659751037,-1.498559078,-0.443983402
2.755043228,-0.082987552,-1.798270893,1.522821577,-1.544668588,-0.419087137
2.778097983,-0.058091286,-1.971181556,1.572614108,-1.648414986,-0.331950207
2.74351585,0.004149378,-1.971181556,1.410788382,-1.682997118,-0.294605809
2.720461095,0.029045643,-1.948126801,1.435684647,-1.740634006,-0.257261411
2.720461095,0.078838174,-1.925072046,1.286307054,-1.821325648,-0.269709544
2.870317003,0.178423237,-2.040345821,1.22406639,-1.890489914,-0.294605809
2.893371758,0.203319502,-1.867435159,1.087136929,-1.971181556,-0.34439834
2.939481268,0.203319502,-1.740634006,1.012448133,-1.982708934,-0.369294606
2.962536023,0.116182573,-1.613832853,0.950207469,-1.982708934,-0.443983402
2.893371758,0.01659751,-1.498559078,0.900414938,-1.971181556,-0.556016598
2.824207493,-0.008298755,-1.44092219,0.825726141,-1.948126801,-0.580912863
2.685878963,-0.107883817,-1.44092219,0.825726141,-1.925072046,-0.65560166
2.628242075,-0.145228216,-1.314121037,0.962655602,-1.867435159,-0.755186722
2.593659942,-0.145228216,-1.34870317,1.049792531,-1.821325648,-0.79253112
2.524495677,-0.12033195,-1.34870317,1.099585062,-1.786743516,-0.829875519
2.501440922,-0.082987552,-1.34870317,1.186721992,-1.763688761,-0.892116183
2.489913545,-0.058091286,-1.337175793,1.286307054,-1.740634006,-0.954356846
2.489913545,0.01659751,-1.314121037,1.348547718,-1.706051873,-1.004149378
2.524495677,0.091286307,-1.325648415,1.473029046,-1.682997118,-1.029045643
2.593659942,0.116182573,-1.34870317,1.522821577,-1.636887608,-1.128630705
2.674351585,0.178423237,-1.429394813,1.547717842,-1.613832853,-1.153526971
2.731988473,0.203319502,-1.4870317,1.585062241,-1.521613833,-1.265560166
2.78962536,0.203319502,-1.590778098,1.585062241,-1.44092219,-1.340248963
2.88184438,0.190871369,-1.694524496,1.53526971,-1.406340058,-1.377593361
2.916426513,0.141078838,-1.809798271,1.360995851,-1.337175793,-1.439834025
2.904899135,0.004149378,-1.821325648,1.336099585,-1.268011527,-1.452282158
2.78962536,-0.045643154,-1.832853026,1.211618257,-1.244956772,-1.514522822
2.720461095,-0.082987552,-1.706051873,1.136929461,-1.106628242,-1.526970954
2.662824207,-0.132780083,-1.648414986,1.087136929,-1.002881844,-1.539419087
2.616714697,-0.058091286,-1.4870317,1.087136929,-0.922190202,-1.502074689
2.720461095,0.004149378,-1.44092219,1.124481328,-0.829971182,-1.526970954
2.778097983,0.004149378,-1.429394813,1.22406639,-0.772334294,-1.46473029
2.858789625,0.178423237,-1.417867435,1.286307054,-0.806916427,-1.352697095
2.662824207,0.053941909,-1.417867435,1.410788382,-0.806916427,-1.290456432
2.616714697,0.041493776,-1.452449568,1.473029046,-0.829971182,-1.253112033
2.443804035,-0.020746888,-1.53314121,1.473029046,-0.887608069,-1.190871369
2.432276657,-0.070539419,-1.602305476,1.460580913,-0.910662824,-1.141078838
2.489913545,0.01659751,-1.671469741,1.373443983,-0.910662824,-1.066390041
2.628242075,0.190871369,-1.671469741,1.323651452,-0.899135447,-0.991701245
2.78962536,0.228215768,-1.556195965,1.348547718,-0.968299712,-0.991701245
2.870317003,0.2406639,-1.53314121,1.186721992,-1.129682997,-0.941908714
2.962536023,0.2406639,-1.602305476,1.186721992,-1.175792507,-0.87966805
2.974063401,0.228215768,-1.786743516,1.261410788,-1.233429395,-0.854771784
2.858789625,0.10373444,-1.717579251,1.360995851,-1.279538905,-0.804979253
2.778097983,0.01659751,-1.717579251,1.572614108,-1.30259366,-0.780082988
2.708933718,-0.045643154,-1.763688761,1.721991701,-1.337175793,-0.730290456
2.639769452,-0.12033195,-1.729106628,1.796680498,-1.39481268,-0.668049793
2.60518732,-0.157676349,-1.717579251,1.908713693,-1.429394813,-0.630705394
2.582132565,-0.170124481,-1.740634006,2.008298755,-1.510086455,-0.580912863
2.720461095,-0.157676349,-1.798270893,2.058091286,-1.567723343,-0.543568465
2.78962536,-0.082987552,-1.717579251,2.12033195,-1.602305476,-0.543568465
2.812680115,0.041493776,-1.786743516,2.195020747,-1.648414986,-0.443983402
2.731988473,0.10373444,-1.809798271,2.307053942,-1.694524496,-0.43153527
2.60518732,0.128630705,-1.936599424,2.20746888,-1.763688761,-0.406639004
2.501440922,-0.082987552,-1.925072046,2.157676349,-1.832853026,-0.381742739
2.60518732,-0.145228216,-1.878962536,2.082987552,-1.890489914,-0.456431535
2.74351585,-0.107883817,-1.463976945,1.921161826,-1.878962536,-0.518672199
2.893371758,-0.008298755,-1.34870317,1.858921162,-1.844380403,-0.518672199
2.916426513,0.116182573,-1.244956772,1.784232365,-1.775216138,-0.643153527
2.824207493,0.215767635,-0.853025937,1.510373444,-1.740634006,-0.692946058
2.65129683,0.178423237,-0.737752161,1.497925311,-1.694524496,-0.767634855
2.570605187,0.078838174,-0.461095101,1.248962656,-1.659942363,-0.829875519
2.489913545,-0.033195021,-0.403458213,1.087136929,-1.648414986,-0.854771784
